Player,Team,actual_ppg,games,Manual,Algo1_Combined,Algo2_v2
mwzera,KRÜ Esports,8.4,5,6.5,6.0,5.5
Darker,LOUD,8.4,5,6.5,7.5,5.5
audaz,Eternal Fire,6.6,5,6.5,8.5,5.5
supamen,Evil Geniuses,4.0,5,6.5,9.5,7.5
oonzmlp,VARREL,9.2,5,6.5,6.5,6.0
SugarZ3ro,ZETA DIVISION,4.6,5,6.5,9.0,7.5
Zellsis,Cloud9,3.2,5,6.0,9.5,7.5
SyouTa,ZETA DIVISION,5.2,5,6.0,7.0,5.0
C0M,Evil Geniuses,1.5,4,6.0,8.0,6.5
SSeeS,Detonation FocusMe,4.6,5,6.0,8.0,5.5
Saadhak,KRÜ Esports,9.2,5,6.0,9.0,7.0
BerserX,Team Secret,4.0,5,5.5,7.0,6.5
Lakia,Gen.G,5.8,5,5.5,9.0,7.0
NINJA,PCIFIC Esports,4.6,5,5.5,7.0,6.5
Xdll,ZETA DIVISION,3.4,5,5.5,7.0,7.5
Jessievash,Team Secret,3.4,5,5.0,8.5,5.5
qpert,PCIFIC Esports,3.0,5,5.0,6.5,5.0
Sylvan,Team Secret,7.6,5,5.0,6.5,6.0
C1ndeR,VARREL,3.4,5,5.0,6.0,5.0
