Player,Year,Team,Region,reg_avg,reg_n,intl_avg,intl_n
Ivy,2025,Nongshim RedForce,PAC,6.5,14,10.4,5
Ivy,2026,Nongshim RedForce,PAC,7.5,6,11.5,8
Jamppi,2024,Team Liquid,EMEA,4.454545454545454,11,5.666666666666667,3
Jamppi,2025,BBL Esports,EMEA,7.611111111111111,18,6.75,4
Jamppi,2026,Team Vitality,EMEA,8.555555555555555,9,7.666666666666667,6
Jawgemo,2025,G2 Esports,AMER,11.526315789473685,19,10.105263157894736,19
Jemkin,2024,Rex Regum Qeon,PAC,8.181818181818182,11,10.5,2
Jemkin,2025,Rex Regum Qeon,PAC,12.4,20,10.0,9
Jemkin,2026,Rex Regum Qeon,PAC,10.75,8,11.6,5
JessieVash,2024,Team Secret,PAC,6.75,12,5.6,5
JessieVash,2025,Team Secret,PAC,5.0,6,9.5,2
Jessievash,2026,Team Secret,PAC,3.4,5,4.0,3
Jieni7,2025,Edward Gaming,CN,7.0,6,5.5,2
Jinboong,2025,Detonation FocusMe,PAC,3.6363636363636362,11,6.25,4
Jinggg,2024,Paper Rex,PAC,9.235294117647058,17,6.833333333333333,6
Jinggg,2025,Paper Rex,PAC,11.470588235294118,17,9.6875,16
Jinggg,2026,Paper Rex,PAC,12.0,10,8.4,15
JitBoyS,2024,TALON,?,6.285714285714286,14,5.0,5
JitboyS,2025,TALON,?,7.176470588235294,17,6.25,4
Jitboys,2026,FULL SENSE,PAC,8.11111111111111,9,4.6,5
JohnQT,2025,Sentinels,AMER,7.9411764705882355,17,6.928571428571429,14
JohnQT,2026,Sentinels,AMER,5.0,5,11.0,4
JonahP,2024,G2 Esports,AMER,6.944444444444445,18,6.333333333333333,15
JonahP,2025,G2 Esports,AMER,8.68421052631579,19,7.947368421052632,19
Jremy,2024,Team Secret,PAC,8.583333333333334,12,8.4,5
Jremy,2025,Team Secret,PAC,5.6,5,7.0,2
Juicy,2025,Wolves Esports,CN,3.2,5,8.285714285714286,7
K1ra,2026,All Gamers,CN,6.4,10,9.0,7
KROSTALY,2026,FUT Esports,EMEA,5.25,8,4.333333333333333,3
Kaajak,2025,FNATIC,EMEA,12.117647058823529,17,11.0,17
Kaajak,2026,FNATIC,EMEA,10.142857142857142,7,9.0,7
Kada,2025,Gentle Mates,EMEA,4.8,5,6.75,4
Kai,2025,Trace Esports,CN,9.333333333333334,6,1.5,2
Kai,2026,Trace Esports,CN,7.375,8,6.8,5
Kamo,2025,Team Liquid,EMEA,10.0,17,9.176470588235293,17
Kamyk,2025,Gentle Mates,EMEA,7.4,10,8.090909090909092,11
Karon,2024,Gen.G,PAC,9.0,18,8.523809523809524,21
Karon,2025,Gen.G,PAC,9.2,15,9.6,10
Karon,2026,Gen.G,PAC,6.8,5,9.5,4
Keiko,2025,Team Liquid,EMEA,11.058823529411764,17,10.588235294117647,17
Keiko,2026,NRG Esports,AMER,9.11111111111111,9,9.76923076923077,13
KellyS,2025,Global Esports,PAC,4.1,10,5.0,3
Keznit,2025,KR Esports,?,9.384615384615385,13,8.8,5
Keznit,2026,ENVY,AMER,7.8,5,7.8,5
Khalil,2024,FURIA,AMER,4.6,10,2.5,2
Khalil,2025,FURIA,AMER,2.4,5,4.5,2
Kicks,2024,Team Vitality,EMEA,5.733333333333333,15,6.75,8
Kicks,2025,Team Vitality,EMEA,5.5,12,8.25,8
Killua,2026,FULL SENSE,PAC,7.444444444444445,9,7.0,5
Klaus,2024,KRÜ Esports,AMER,5.555555555555555,9,3.5,2
Klaus,2026,VARREL,PAC,5.0,5,6.333333333333333,3
Knight,2025,Bilibili Gaming,CN,10.666666666666666,9,3.6,5
Knight,2026,Bilibili Gaming,CN,7.4,5,7.6,5
Koalanoob,2025,Natus Vincere,EMEA,7.375,8,5.5,2
Kr1stal,2025,Global Esports,PAC,5.2,10,6.666666666666667,3
Kr1stal,2026,Global Esports,PAC,5.0,9,7.5,6
Kushy,2025,Rex Regum Qeon,PAC,7.7,20,8.222222222222221,9
Kushy,2026,Rex Regum Qeon,PAC,5.625,8,8.8,5
Lakia,2024,Gen.G,PAC,6.555555555555555,18,6.476190476190476,21
Lakia,2026,Gen.G,PAC,5.8,5,4.5,4
Lar0k,2026,BBL Esports,EMEA,5.166666666666667,6,10.857142857142858,7
Laz,2024,ZETA DIVISION,PAC,7.6,10,4.6,5
Leaf,2025,G2 Esports,AMER,13.25,12,10.947368421052632,19
Leo,2024,FNATIC,EMEA,9.363636363636363,11,5.0,4
Less,2024,LOUD,AMER,6.545454545454546,11,9.666666666666666,9
Less,2025,Team Vitality,EMEA,7.166666666666667,12,9.25,8
Leviathan,2026,FULL SENSE,PAC,6.666666666666667,9,5.6,5
Levius,2025,Bilibili Gaming,CN,7.666666666666667,9,4.0,5
LewN,2025,BBL Esports,EMEA,10.222222222222221,18,7.5,4
LewN,2026,Karmine Corp,EMEA,6.8,5,10.0,4
Life,2026,FunPlus Phoenix,CN,6.363636363636363,11,2.0,3
Lightningfast,2024,Global Esports,PAC,4.5,10,2.0,3
Lmemore,2024,Rex Regum Qeon,PAC,7.181818181818182,11,6.0,2
Loita,2026,BBL Esports,EMEA,3.5,6,8.857142857142858,7
Lovers rock,2026,BBL Esports,EMEA,5.166666666666667,6,11.714285714285714,7
Lukxo,2026,LOUD,AMER,8.333333333333334,6,5.666666666666667,3
Luok1ng,2025,Trace Esports,CN,5.5,6,0.0,2
Lysoar,2025,Wolves Esports,CN,5.0,5,5.714285714285714,7
Lysoar,2026,Xi Lai Gaming,CN,8.727272727272727,11,8.666666666666666,6
MAGNUM,2024,Karmine Corp,EMEA,4.3076923076923075,13,6.9,10
MOLSI,2025,Apeks,?,4.8,10,2.5,2
MaKo,2024,DRX,PAC,8.75,16,7.125,8
MaKo,2025,DRX,PAC,8.625,16,8.466666666666667,15
MaKo,2026,DRX,PAC,7.875,8,7.833333333333333,6
Margaret,2025,Nongshim RedForce,PAC,9.833333333333334,6,8.0,5
Marteen,2025,Karmine Corp,EMEA,11.25,12,8.666666666666666,3
Marteen,2026,Gentle Mates,EMEA,8.857142857142858,7,14.88888888888889,9
Marved,2024,NRG,?,6.166666666666667,6,7.0,3
Mazino,2024,LEVIATÁN,AMER,9.176470588235293,17,5.846153846153846,13
Mazino,2025,KR Esports,?,6.384615384615385,13,8.2,5
Mazino,2026,MIBR,AMER,3.857142857142857,7,9.6,5
Medusa,2024,DetonatioN FocusMe,PAC,4.1,10,2.5,2
Meiy,2024,DetonatioN FocusMe,PAC,7.3,10,6.0,2
Meiy,2025,Detonation FocusMe,PAC,7.7272727272727275,11,10.5,4
Meiy,2026,Detonation FocusMe,PAC,11.333333333333334,6,7.857142857142857,7
Melser,2024,KRÜ Esports,AMER,6.5,16,4.4,5
Melser,2025,KR Esports,?,6.0,13,9.6,5
Meteor,2024,Gen.G,PAC,8.555555555555555,18,9.904761904761905,21
Meteor,2025,T1,PAC,7.75,16,10.5,16
Meteor,2026,T1,PAC,6.625,8,9.444444444444445,9
MiniBoo,2024,Team Heretics,EMEA,8.058823529411764,17,9.642857142857142,14
Miniboo,2025,Team Heretics,EMEA,10.625,16,6.0,11
Miniboo,2026,Team Liquid,EMEA,7.714285714285714,7,9.090909090909092,11
Minny,2025,Gentle Mates,EMEA,6.6,10,8.25,4
Minny,2026,Gentle Mates,EMEA,6.0,7,10.555555555555555,9
Mistic,2024,Team Liquid,EMEA,4.2727272727272725,11,6.0,3
Mitch,2025,Cloud9,AMER,6.4375,16,4.0,3
Monyet,2024,Rex Regum Qeon,PAC,6.5,6,6.333333333333333,9
Monyet,2025,Rex Regum Qeon,PAC,8.9,20,7.222222222222222,9
Monyet,2026,Rex Regum Qeon,PAC,7.0,8,8.4,5
