,,Stage,Wk,Game,Pts,T.Pts,P.Pts,PPM,Adj.VP,P?,0k,5k,10k,15k,20k,25k,30k,35k,40k,45k,50k,4ks,5ks,TOP3,TOP2,TOP1,1.5R2,1.75R2,2.0R2,PR Avg.,W/L,Game Start VP,Game End VP
100 Thieves,Asuna,Stage 2,,G17,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G18,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G19,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G20,8,3,5,2.67,,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,W,,
100 Thieves,Asuna,Stage 2,,G21,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G22,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G23,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G24,10,3,7,3.33,,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G25,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G26,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G27,7,3,4,3.5,,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,W,,
100 Thieves,Asuna,Stage 2,,G28,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G29,2,0,2,1.0,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G30,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G31,5,1,4,1.67,,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G32,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Asuna,Stage 2,,G33,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Kickoff,,G1,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Kickoff,,G2,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Kickoff,,G3,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Kickoff,,G4,10,3,7,3.33,,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Kickoff,,G5,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Kickoff,,G6,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Kickoff,,G7,5,2,3,1.67,,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Kickoff,,G8,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Kickoff,,G9,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Kickoff,,G10,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Kickoff,,G11,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Kickoff,,G12,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Kickoff,,G13,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Kickoff,,G14,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
100 Thieves,Boostio,Kickoff,,G15,0,0,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,,
